Query,URLs
John Lennon,"['https://en.wikipedia.org/wiki/John_Lennon', 'https://www.britannica.com/biography/John-Lennon', 'https://www.johnlennon.com/', 'https://www.biography.com/musicians/john-lennon', 'https://www.bbc.com/news/entertainment-arts-55214007']"
David Davis,"['https://en.wikipedia.org/wiki/David_Davis_(British_politician)', 'https://www.bbc.co.uk/news/uk-politics-60056482', 'https://members.parliament.uk/member/373/contact', 'https://www.telegraph.co.uk/politics/2022/01/19/david-davis-tory-anger-across-generations-meant-had-tell-boris/', 'https://twitter.com/DavidDavisMP']"
Alistair Darling,[]
Tony Blair,[]
Chris Kamara,"['https://en.wikipedia.org/wiki/Chris_Kamara', 'https://www.theguardian.com/tv-and-radio/2022/dec/14/tv-tonight-chris-kammy-kamara-opens-up-about-his-rare-condition', 'https://www.leeds-live.co.uk/news/celebs-tv/chris-kamaras-life-diagnosis-illness-25750051', 'https://www.bbc.com/news/uk-england-tees-64880357', 'https://www.hellomagazine.com/healthandbeauty/health-and-fitness/20221214159559/chris-kamara-apraxia-explained-itv-documentary/']"
