Artist,Title,Label,Format,Released
Joan Armatrading,Steppin' Out,A&M Records,"LP, Album
Joan Armatrading,Me Myself I,A&M Records,"LP, Album"
Joan Armatrading,Track Record,A&M Records,"LP, Comp
Joan Armatrading,The Key,A&M Records,"LP, Album"
Joan Armatrading,Sleight Of Hand,A&M Records,"LP, Album"
John Lennon & Yoko Ono,Double Fantasy,"Geffen Records, Geffen Records, Geffen Records"
Joni Mitchell,Ladies Of The Canyon,Reprise Records,"LP, Album
Joni Mitchell,Blue,"Reprise Records, Reprise Records","LP
Joni Mitchell,Court And Spark,"Asylum Records, Asylum Records","LP
Judy Collins,Colors Of The Day (The Best Of Judy Collins),"Elektra, Elektra","LP
Judy Collins,Judith,Elektra,"LP, Album
Kaiser Chiefs,Employment,"B-Unique Records, Polydor","LP
Led Zeppelin,Led Zeppelin,"Atlantic, Atlantic","LP
Led Zeppelin,Led Zeppelin II,Atlantic,"LP, Album
Led Zeppelin,Led Zeppelin III,"Atlantic, Atlantic","LP
Led Zeppelin,Untitled,"Atlantic, Atlantic","LP
Led Zeppelin,Houses Of The Holy,"Atlantic, Atlantic","LP
Led Zeppelin,Physical Graffiti,Swan Song,"2xLP, Album
Led Zeppelin,Presence,Swan Song,"LP, Album
Led Zeppelin,In Through The Out Door,Swan Song,"LP, Album
Leonard Cohen,Songs Of Leonard Cohen,"CBS, CBS","LP
Leonard Cohen,I'm Your Man,"CBS, CBS","LP
Linkin Park,Hybrid Theory,"Warner Records, Machine Shop Recordings","LP
Lloyd Cole & The Commotions,Rattlesnakes,"Polydor, Polydor","LP
Lou Reed,Transformer,"RCA, RCA Victor","LP
Manfred Mann,Semi-Detached Suburban (20 Great Hits Of The Sixties),"EMI, EMI","LP
Manfred Mann With Paul Jones,Mann Made Hits,"His Master's Voice, His Master's Voice","LP
Meat Loaf,Bat Out Of Hell,"Epic, Cleveland International Records, Epic"
Meat Loaf,Dead Ringer,CBS/Sony,"LP, Album"
Michael Jackson,One Day In Your Life,"Tamla Motown, Tamla Motown","LP
Midday Veil,This Wilderness,Beyond Beyond Is Beyond Records,"LP, Album
Mr. Mister,Welcome To The Real World,RCA,"LP, Album"
My Chemical Romance,The Black Parade ,"Reprise Records, Reprise Records","LP + LP
Nat King Cole,20 Greatest Love Songs,"Capitol Records, Capitol Records","LP
Neil Young,After the Gold Rush,"Reprise Records, Reprise Records","LP
Neil Young,American Stars 'N Bars,Reprise Records,"LP, Album
New Musik,From A To B,GTO,"LP, Album"
Panic Shack,Baby Shack,Brace Yourself Records,"12"" EP Ltd Cle",2022
Paul & Linda McCartney,Ram,"Apple Records, Apple Records","LP
Paul McCartney,McCartney II,"Parlophone, Parlophone, MPL (2)"
Phil Collins,No Jacket Required,Virgin,"LP, Album
Phil Collins,...But Seriously,Virgin,"LP, Album"
Pink Floyd,The Dark Side Of The Moon,"Harvest, EMI, EMI"
Pink Floyd,Wish You Were Here,Harvest,"LP, Album"
Pink Floyd,Animals,"Harvest, Harvest","LP
Pink Floyd,The Wall,Harvest,"2xLP, Album
Prince And The Revolution,Purple Rain,"Warner Records, NPG Records","LP
Pulp,Different Class,"Island Records, Island Records","LP
Rage Against The Machine,Rage Against The Machine,"Epic Associated, Legacy, Sony Music"
Rainbow,Down To Earth,"Polydor, Polydor","LP
Rita Coolidge,Anytime... Anywhere,A&M Records,"LP, Album"
Roger Whittaker,20 All Time Greats,"Polydor, Polydor","LP
Roxy Music,Greatest Hits,Polydor,"LP, Comp"
Runrig,The Cutter & The Clan,Chrysalis,"LP, Album"
Sad Café,Facades,RCA,"LP, Album"
Saxon,Wheels Of Steel,Carrere,"LP, Album"
Scritti Politti,Songs To Remember,Rough Trade,"LP, Album"
Sex Pistols,Never Mind The Bollocks Here's The Sex Pistols,"Warner Bros. Records, Virgin, Warner Bros. Records
Simon & Garfunkel,"Wednesday Morning, 3 A.M.",CBS,"LP
Simon & Garfunkel,Sounds Of Silence,"CBS, CBS","LP
Simon & Garfunkel,"Parsley, Sage, Rosemary And Thyme","CBS
Simon & Garfunkel,Bookends,CBS,"LP, Album
Simon & Garfunkel,Bridge Over Troubled Water,"CBS, CBS","LP
Sky (4),Sky 2,Ariola,"2xLP, Album
Smokie,Bright Lights And Back Alleys,"RAK, RAK","LP
Spandau Ballet,Journeys To Glory,"Reformation, Chrysalis","LP
Spandau Ballet,Diamond,"Reformation, Chrysalis","LP
Spandau Ballet,TRUE,"Reformation, Chrysalis","LP
Spandau Ballet,Parade,"Reformation, Chrysalis","LP
Spandau Ballet,Through The Barricades,"CBS, CBS","LP
Spandau Ballet,Heart Like A Sky,CBS,"LP, Album"
Split Enz,True Colours,Mushroom,"LP, Album
Squeeze (2),Singles - 45's And Under,A&M Records,"LP, Comp"
Status Quo,Whatever You Want,Vertigo,"LP, Album"
Status Quo,Just Supposin'...,Vertigo,"LP, Album"
Status Quo,Never Too Late,Vertigo,"LP, Album"
Status Quo,Back To Back,"Vertigo, Vertigo","LP
Steeleye Span,Original Masters,Chrysalis,"2xLP, Comp
Steve Harley And Cockney Rebel,The Best Years Of Our Lives,"EMI, EMI","LP
Stiff Little Fingers,Inflammable Material,Rough Trade,"LP, Album
Supertramp,Crime Of The Century,A&M Records,"LP, Album"
Supertramp,Even In The Quietest Moments,A&M Records,"LP, Album"
Supertramp,Breakfast In America,A&M Records,"LP, Album
Supertramp,"""...Famous Last Words...""",A&M Records,"LP, Album"
Suzanne Vega,Solitude Standing,A&M Records,"LP, Album"
Talk Talk,The Party's Over,"EMI, EMI","LP
Talk Talk,It's My Life,"EMI, EMI","LP
Tanita Tikaram,Ancient Heart,"WEA, WEA","LP
The Animals,The Most Of,Music For Pleasure,"LP, Comp"
The Band,To Kingdom Come,Capitol Records,"3xLP, Comp"
The Beach Boys,Best Of The Beach Boys,Capitol Records,"LP, Comp"
The Beatles,Please Please Me,Parlophone,"LP, Album
The Beatles,Beatles For Sale,Parlophone,"LP, Album
The Beatles,A Hard Day's Night,Parlophone,"LP, Album
The Beatles,Help!,Parlophone,"LP, Album
The Beatles,Revolver,Parlophone,"LP, Album
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Parlophone,"LP, Album
The Beatles,Rubber Soul ,Parlophone,"LP, Album
The Beatles,Abbey Road,Apple Records,"LP, Album"
The Beatles,1962-1966,"Apple Records, Apple Records, Apple Records"
The Blow Monkeys,Animal Magic,RCA,"LP, Album"
The Clash,The Clash,"CBS, CBS","LP
The Clash,London Calling,"CBS, CBS","2xLP
The Doors,Greatest Hits,"Elektra, Elektra","LP
The Early Mornings,Ultra-Modern Rain / Unnecessary Creation,Practise Music,"12"", Comp
The Hollies,20 Golden Greats,"EMI, EMI","LP
The Human League,Reproduction,Virgin,"LP, Album"
The Jam,This Is The Modern World,Polydor,"LP, Album
The Jam,Setting Sons,Polydor,"LP, Album"
The Jam,Sound Affects,Polydor,"LP, Album"
The Jam,The Gift,"Polydor, Polydor","LP
The Killers,Hot Fuss,"Island Records, Universal Music Catalogue","LP
The Kinks,20 Golden Greats,"Ronco, Pye Records","LP
The Kinks,You Really Got Me,Pye Records,"LP, Comp"
The League Unlimited Orchestra,Love And Dancing,Virgin,"LP, Album
The Monkees,The Monkees,"RCA Victor, Colgems","LP
The Monkees,More Of The Monkees,"RCA Victor, RCA Victor","LP
The Monkees,Headquarters,RCA Victor,"LP, Album
The Monkees,"Pisces, Aquarius, Capricorn & Jones Ltd.",RCA Victor
The Monkees,"The Birds, The Bees & The Monkees",RCA Victor,"LP
The Moody Blues,A Question Of Balance,"Threshold (5), Threshold (5)","LP
The Moody Blues With The London Festival Orchestra Conducted By Peter Knight (5),Days Of Future Passed,Deram,"LP, Album
The Pogues,Rum Sodomy & The Lash,Stiff Records,"LP, Album"
The Police,Outlandos D'Amour,A&M Records,"LP, Album"
The Police,Reggatta De Blanc,A&M Records,"LP, Album"
The Police,Zenyatta Mondatta,A&M Records,"LP, Album"
